date,observed,trend,seasonal,resid
2019-11-03,739119.4500000008,276609.0285714287,-100977.26519854026,563487.6866271123
2019-11-04,7572.820000000001,297497.8057142858,43850.4095355246,-333775.3952498104
2019-11-05,221090.67999999996,213735.6557142858,38414.599230450534,-31059.574944736363
2019-11-06,306215.37,213735.6557142858,41795.18525610053,50684.52902961367
2019-11-07,192773.48000000004,108147.16285714286,67658.82526623465,16967.49187662253
2019-11-08,29377.78999999999,136167.11428571428,20801.18047695594,-127590.50476267023
2019-11-09,0.0,154068.06714285712,-111542.93456672598,-42525.132576131145
2019-11-10,0.0,120145.6657142857,-100977.26519854026,-19168.400515745438
2019-11-11,203712.48000000004,157299.81714285712,43850.4095355246,2562.2533216183147
2019-11-12,346397.3499999999,163547.33285714284,38414.599230450534,144435.41791240656
2019-11-13,68758.55999999998,163547.33285714284,41795.18525610053,-136583.9581132434
2019-11-14,452852.5400000001,163547.33285714284,67658.82526623465,221646.38187662262
2019-11-15,73110.40000000001,134445.55,20801.18047695594,-82136.33047695592
2019-11-16,0.0,123905.71142857143,-111542.93456672598,-12362.776861845457
2019-11-17,0.0,146168.66,-100977.26519854026,-45191.39480145974
2019-11-18,0.0,112703.05142857143,43850.4095355246,-156553.46096409604
2019-11-19,272618.48,110919.79428571429,38414.599230450534,123284.08648383517
2019-11-20,224599.2000000001,112565.77,41795.18525610053,70238.24474389956
2019-11-21,218593.28000000006,112565.77,67658.82526623465,38368.6847337654
2019-11-22,60627.59999999999,121984.42142857143,20801.18047695594,-82158.00190552737
2019-11-23,11521.83,94075.46285714288,-111542.93456672598,28989.301709583102
2019-11-24,0.0,79575.00571428571,-100977.26519854026,21402.25948425455
2019-11-25,65930.55999999997,100172.80857142856,43850.4095355246,-78092.6581069532
2019-11-26,77255.77000000006,91511.72285714284,38414.599230450534,-52670.552087593314
2019-11-27,123096.0,89865.74714285713,41795.18525610053,-8564.932398957659
2019-11-28,362777.8999999999,89865.74714285713,67658.82526623465,205253.32759090816
2019-11-29,0.0,135030.60428571427,20801.18047695594,-155831.78476267023
2019-11-30,0.0,223014.31571428577,-111542.93456672598,-111471.38114755979
2019-12-01,0.0,212123.45857142864,-100977.26519854026,-111146.19337288837
2019-12-02,382084.5600000001,182132.1557142858,43850.4095355246,156101.9947501897
2019-12-03,693141.7500000005,234980.74428571438,38414.599230450534,419746.4064838356
2019-12-04,46860.00000000001,234980.74428571438,41795.18525610053,-229915.9295418149
2019-12-05,152838.78000000003,234980.74428571438,67658.82526623465,-149800.789551949
2019-12-06,369940.12000000005,186096.27428571435,20801.18047695594,163042.66523732978
2019-12-07,0.0,89181.82428571429,-111542.93456672598,22361.110281011686
2019-12-08,0.0,86641.16571428573,-100977.26519854026,14336.099484254533
2019-12-09,39893.27,113198.09857142858,43850.4095355246,-117155.23810695318
2019-12-10,14740.600000000002,100886.94714285713,38414.599230450534,-124560.94637330766
2019-12-11,29075.390000000007,100886.94714285713,41795.18525610053,-113606.74239895763
2019-12-12,338737.31,100886.94714285713,67658.82526623465,170191.53759090824
2019-12-13,283762.06,105716.04999999999,20801.18047695594,157244.82952304406
2019-12-14,0.0,119329.66428571429,-111542.93456672598,-7786.72971898831
2019-12-15,0.0,122954.78857142857,-100977.26519854026,-21977.523372888303
2019-12-16,73696.99,103875.59142857141,43850.4095355246,-74029.010964096
2019-12-17,110035.90000000001,67240.62285714285,38414.599230450534,4380.677912406623
2019-12-18,54451.26000000002,67240.62285714285,41795.18525610053,-54584.54811324336
2019-12-19,205182.92999999993,67240.62285714285,67658.82526623465,70283.48187662243
2019-12-20,27317.28,106172.3957142857,20801.18047695594,-99656.29619124164
2019-12-21,0.0,90452.98142857142,-111542.93456672598,21089.953138154553
2019-12-22,0.0,82674.22999999998,-100977.26519854026,18303.03519854028
2019-12-23,346219.39999999997,61889.481428571424,43850.4095355246,240479.5090359039
2019-12-24,0.0,72945.26,38414.599230450534,-111359.85923045053
2019-12-25,0.0,72945.26,41795.18525610053,-114740.44525610053
2019-12-26,59689.69000000002,72945.26,67658.82526623465,-80914.39526623463
2019-12-27,104707.73000000001,24501.717142857146,20801.18047695594,59404.83238018693
2019-12-28,0.0,24501.717142857146,-111542.93456672598,87041.21742386883
2019-12-29,0.0,109037.12000000001,-100977.26519854026,-8059.854801459747
2019-12-30,7114.6,204628.74571428576,43850.4095355246,-241364.55524981036
2019-12-31,0.0,201811.01428571437,38414.599230450534,-240225.61351616489
2020-01-01,591747.8200000001,201811.01428571437,41795.18525610053,348141.62045818515
2020-01-02,728831.0700000004,201811.01428571437,67658.82526623465,459361.2304480514
2020-01-03,84983.61000000002,227571.19571428577,20801.18047695594,-163388.76619124168
2020-01-04,0.0,247259.75571428577,-111542.93456672598,-135716.8211475598
2020-01-05,0.0,163257.13857142863,-100977.26519854026,-62279.87337288837
