id,create_uid,code,create_date,reconcile,deprecated,company_id,write_uid,currency_id,note,internal_type,write_date,user_type_id,last_time_entries_checked,name,wtaxf
206,1,4.2.1.04.000,3/7/18 15:45,FALSE,FALSE,1,6,,,other,3/8/19 20:39,16,,Sueldos Fábricación,cashin_out
208,1,1.2.1.06.000,3/7/18 15:47,FALSE,FALSE,1,1,,,other,3/7/18 15:47,6,,Maquinaria producción,
209,1,4.2.1.10.000,3/7/18 15:48,FALSE,FALSE,1,1,,,other,6/21/19 20:07,17,,Gastos varios de fabricación,
210,1,4.2.2.07.000,3/7/18 15:48,FALSE,FALSE,1,6,,,other,3/8/19 20:36,16,,Gastos de marketing,
211,1,4.2.2.07.003,3/7/18 15:49,FALSE,FALSE,1,6,,,other,3/8/19 20:36,16,,Gastos de marketing Diseño,
212,1,4.2.2.07.004,3/7/18 15:49,FALSE,FALSE,1,6,,,other,3/8/19 20:37,16,,Gastos de Marketing Online,
213,1,4.2.2.07.005,3/7/18 15:50,FALSE,FALSE,1,6,,,other,3/8/19 20:37,16,,Gastos de Trade Marketing,
214,1,1.1.2.01.004,3/7/18 21:17,TRUE,FALSE,1,1,,,other,3/15/18 17:35,5,,Documentos a Cobrar,
477,1,1.1.1.01.000,3/8/18 20:34,FALSE,FALSE,1,13,,,liquidity,12/4/20 17:03,3,,Caja,
478,1,1.1.1.02.000,3/8/18 20:34,FALSE,FALSE,1,1,,,liquidity,3/8/18 20:34,3,,Bancos,
479,1,1.1.1.02.001,3/8/18 20:34,FALSE,FALSE,1,13,,,liquidity,12/14/20 13:19,3,,BBVA - Banco Frances,
480,1,1.1.1.02.002,3/8/18 20:34,FALSE,FALSE,1,13,,,other,12/14/20 12:53,5,,Valores en cartera / Cheques de 3ros,
481,1,1.1.1.02.003,3/8/18 20:34,FALSE,FALSE,1,8,,,liquidity,10/29/20 16:40,3,,BBVA - U$S Banco Frances Dólares,
482,1,1.1.1.02.004,3/8/18 20:34,FALSE,FALSE,1,8,,,liquidity,11/17/20 21:03,3,,Mercadopago,
483,1,1.1.3.02.300,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,5,,Retencion IIBB Banco CABA,
484,1,1.1.3.02.400,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,5,,Saldo a Favor IIBB CABA,
